"No.","Pos. [°2θ]","Iobs [cps]"
"596","28.2247","102.4943"
"597","28.2637","107.0004"
"598","28.3027","107.7410"
"599","28.3417","106.3445"
"600","28.3807","105.5510"
"601","28.4197","100.6384"
"602","28.4587","99.0087"
"603","28.4977","97.8051"
"604","28.5367","98.9525"
"605","28.5757","90.5353"
"606","28.6147","94.5207"
"607","28.6537","96.4784"
"608","28.6927","98.0650"
"609","28.7317","95.2315"
"610","28.7707","96.5447"
"611","28.8097","97.8853"
"612","28.8487","100.4266"
"613","28.8877","95.6836"
"614","28.9267","94.1960"
"615","28.9657","96.6772"
"616","29.0047","97.1444"
"617","29.0437","93.5569"
"618","29.0827","96.0885"
"619","29.1217","98.2148"
"620","29.1607","99.0269"
"621","29.1997","100.9485"
"622","29.2387","97.3974"
"623","29.2777","97.8865"
"624","29.3167","101.1827"
"625","29.3557","101.3705"
"626","29.3947","100.4103"
"627","29.4337","98.8553"
"628","29.4727","101.9697"
"629","29.5117","107.4393"
"630","29.5507","110.8657"
"631","29.5897","117.4625"
"632","29.6287","121.1237"
"633","29.6677","119.2782"
"634","29.7067","113.1503"
"635","29.7457","108.9477"
"636","29.7847","106.9437"
"637","29.8237","108.9953"
"638","29.8627","111.1088"
"639","29.9017","115.0270"
"640","29.9407","129.3266"
"641","29.9797","147.2961"
"642","30.0187","170.1815"
"643","30.0577","186.9543"
"644","30.0967","182.3707"
"645","30.1357","165.7039"
"646","30.1747","144.4350"
"647","30.2137","123.6334"
"648","30.2527","110.2269"
"649","30.2917","104.1374"
"650","30.3307","100.6812"
"651","30.3697","97.5542"
"652","30.4087","94.7119"
"653","30.4477","95.8211"
"654","30.4867","95.2674"
"655","30.5257","94.5059"
"656","30.5647","95.6730"
"657","30.6037","95.6660"
"658","30.6427","97.5868"
"659","30.6817","96.6974"
"660","30.7207","95.0490"
"661","30.7597","96.1920"
"662","30.7987","94.9844"
"663","30.8377","94.3350"
"664","30.8767","96.0670"
"665","30.9157","96.1454"
"666","30.9547","95.3042"
"667","30.9937","95.9219"
"668","31.0327","95.4422"
"669","31.0717","95.1485"
"670","31.1107","93.5408"
"671","31.1497","92.9945"
"672","31.1887","90.2344"
"673","31.2277","91.8894"
"674","31.2667","93.2577"
"675","31.3057","94.8140"
"676","31.3447","94.4170"
"677","31.3837","93.0108"
"678","31.4227","93.0964"
"679","31.4617","91.6712"
"680","31.5007","90.5259"
"681","31.5397","91.0332"
"682","31.5787","92.4146"
"683","31.6177","91.2704"
"684","31.6567","92.2079"
"685","31.6957","92.0708"
"686","31.7347","94.0397"
"687","31.7737","93.2743"
"688","31.8127","93.2240"
"689","31.8517","92.5865"
"690","31.8907","93.0976"
"691","31.9297","93.2778"
"692","31.9687","94.6022"
"693","32.0077","96.1696"
"694","32.0467","97.2994"
"695","32.0857","97.9534"
"696","32.1247","99.0838"
"697","32.1637","98.0482"
"698","32.2027","99.2450"
"699","32.2417","96.0818"
"700","32.2807","95.7588"
"701","32.3197","95.8664"
"702","32.3587","92.0068"
"703","32.3977","92.1193"
"704","32.4367","91.8909"
"705","32.4757","89.9944"
"706","32.5147","90.3827"
"707","32.5537","90.3622"
"708","32.5927","92.4466"
"709","32.6317","92.4178"
"710","32.6707","90.6540"
"711","32.7097","92.1758"
"712","32.7487","98.0362"
"713","32.7877","98.4294"
"714","32.8267","101.3137"
"715","32.8657","107.7194"
"716","32.9047","116.4816"
"717","32.9437","119.1385"
"718","32.9827","115.2502"
"719","33.0217","110.0694"
"720","33.0607","102.2591"
"721","33.0997","97.2798"
"722","33.1387","96.5054"
"723","33.1777","91.8683"
"724","33.2167","90.5181"
"725","33.2557","91.7285"
"726","33.2947","91.0014"
"727","33.3337","92.5080"
"728","33.3727","94.3592"
"729","33.4117","90.4056"
"730","33.4507","89.9063"
"731","33.4897","91.8453"
"732","33.5287","91.9926"
"733","33.5677","91.0609"
"734","33.6067","89.8418"
"735","33.6457","91.5289"
"736","33.6847","90.6019"
"737","33.7237","90.8252"
"738","33.7627","92.1034"
"739","33.8017","91.1921"
"740","33.8407","89.2124"
"741","33.8797","88.6453"
"742","33.9187","89.5352"
"743","33.9577","89.9092"
"744","33.9967","91.6486"
