angle,5L-0,5L-1,5L-2,5L-3,5L-4,5L-5
17.8897,97.9828,99.8909,96.5209,92.9013,95.0499,98.9202
17.9287,98.3761,102.3521,95.7418,92.351,93.4292,100.5037
17.9677,98.6323,101.1213,96.0021,94.453,95.4245,97.4769
18.0067,98.2501,97.905,96.1592,92.278,94.4002,97.77
18.0457,98.1827,100.0566,96.8265,90.0707,93.0979,97.172
18.0847,97.7625,103.5315,95.6394,92.0053,93.9309,97.6742
18.1237,97.7416,101.5137,93.8626,92.9627,93.3577,96.367
18.1627,97.7027,101.263,97.1687,92.9071,92.7359,98.6044
18.2017,97.1415,101.5036,96.9678,92.2705,94.3219,98.382
18.2407,96.5736,101.1308,98.1599,91.5221,94.4779,98.1863
18.2797,95.8541,100.8009,96.8036,93.8173,92.2877,98.4017
18.3187,97.652,98.8371,94.9712,93.1721,94.8153,98.9886
18.3577,98.5828,101.2187,94.5921,89.9725,95.4071,97.8266
18.3967,96.8069,99.0889,94.4165,92.0823,92.9593,97.504
18.4357,97.3967,99.9566,94.5177,93.6434,93.5316,98.7282
18.4747,98.0944,100.5718,93.6853,94.0608,94.4153,99.1469
18.5137,96.5932,99.5057,95.3705,94.3312,93.5661,96.8065
18.5527,96.7462,100.9515,96.6015,92.8443,93.3762,97.1176
18.5917,96.6747,101.9063,94.6074,92.5785,92.3558,97.9728
18.6307,96.8367,100.6664,93.697,92.2397,91.4088,98.1027
18.6697,97.4601,100.9005,95.0531,91.3524,91.8741,97.9997
18.7087,96.4865,100.871,94.6542,90.7713,91.8875,98.1824
18.7477,96.1785,100.6571,92.4647,92.1418,91.3123,97.7725
18.7867,95.8748,102.4543,93.609,93.745,91.8105,97.4538
18.8257,95.9026,101.7522,95.2596,93.5175,93.392,99.1187
18.8647,96.9104,100.569,94.5844,93.0177,93.1016,98.8878
18.9037,96.2613,101.2155,93.7151,91.8809,91.1199,97.5727
18.9427,95.9177,102.8217,95.8845,92.5355,89.3655,97.6619
18.9817,96.5189,102.5473,98.5337,93.448,89.8504,97.3637
19.0207,95.1501,100.3361,96.9376,91.9021,92.8335,98.243
19.0597,94.1584,101.7311,95.1061,90.9137,92.5519,100.0671
19.0987,96.2246,101.5647,95.2482,90.9215,91.6217,97.9296
19.1377,97.6027,99.7313,97.0251,91.4736,92.2304,97.0245
19.1767,96.4355,100.1437,97.1446,92.7643,90.2304,98.9289
19.2157,95.8269,100.1622,96.2643,92.9313,91.1324,98.7384
19.2547,96.1152,100.9772,93.6068,91.819,93.3438,97.8475
19.2937,97.0794,100.8829,95.0875,93.2167,92.9677,96.3204
19.3327,98.7333,99.5743,97.1646,91.7357,91.6434,97.4288
19.3717,98.7487,100.5418,95.3232,90.1064,92.01,96.8565
19.4107,98.5335,100.2554,93.9191,90.7432,93.0631,97.4468
19.4497,97.8263,99.0695,95.017,92.7522,92.9313,99.1315
19.4887,96.2978,100.3502,95.2868,93.4816,92.879,99.6092
19.5277,98.6152,99.3619,96.442,93.8677,91.6647,98.0013
19.5667,100.7559,100.8446,96.8528,93.6124,91.0369,97.5612
19.6057,100.9763,100.2835,93.8453,95.6087,90.5099,98.1849
19.6447,100.8968,100.3055,92.422,99.2346,93.5492,98.1782
19.6837,105.54,103.5225,97.1111,101.5913,94.4017,98.3129
19.7227,106.5089,104.1149,98.691,106.7065,97.4245,100.4186
19.7617,111.7834,105.6826,101.0809,113.2204,100.2766,103.8059
19.8007,114.8355,110.5826,105.8447,115.1846,105.6855,105.5705
19.8397,115.5751,116.6532,107.9494,111.5057,109.3192,104.92
19.8787,110.9614,119.3981,106.0125,102.6098,109.0701,103.8535
19.9177,106.4906,123.1914,106.0356,99.414,108.4291,103.0735
19.9567,100.45,121.4462,104.4675,96.1473,104.8661,100.1348
19.9957,101.0681,113.5307,102.841,93.6642,101.8782,99.7103
20.0347,100.2781,108.5707,98.3906,88.5502,95.8138,97.4704
20.0737,99.1738,102.5534,95.1852,89.878,93.9014,100.0774
20.1127,97.3777,101.9624,96.762,93.9847,93.3972,98.3802
20.1517,96.8682,101.4978,97.0803,92.8083,92.484,96.9158
20.1907,98.45,99.8511,95.6537,92.5935,89.5222,97.7693
20.2297,99.4748,98.7689,96.4586,92.5382,92.8528,98.6564
20.2687,96.8972,100.1336,96.6089,90.93,93.0949,97.9726
20.3077,95.2005,102.6352,95.6382,91.4754,90.9513,99.1238
20.3467,96.0275,100.8944,93.923,91.6605,92.3394,97.768
20.3857,94.4037,101.1624,94.6851,90.9371,91.921,98.6129
20.4247,96.706,102.4606,95.7198,91.8379,89.2401,97.7171
20.4637,97.4309,99.7215,96.9197,90.9649,91.5466,95.6014
20.5027,98.4852,103.76,93.5632,91.5846,90.8013,97.23
20.5417,99.2197,102.5513,96.1594,92.4671,87.4659,95.1825
20.5807,98.1299,99.7433,95.213,91.4595,89.9156,98.7692
20.6197,100.6708,102.1718,96.617,90.9733,89.3155,98.3931
20.6587,98.6272,100.3195,98.1108,92.5413,93.4986,99.0103
